actor,public_commits,total_commits,is_org,n_repos_2025
CodingManoj,4,4,True,2
JordanRoberts-2000,6,6,True,2
mnraza-dev,21,48,True,2
bofh69,106,106,False,2
tropt1,0,0,False,2
BlondyMartinez,0,0,False,3
GiorgioKalmund,56,56,False,2
Ailenmann760,3,3,False,2
Artem336600,18,18,False,2
palemieux,34,107,False,2
okonomi,7,7,False,3
a0977050093,7,7,False,2
davideolgiati,13,15,False,3
DogPope,0,0,False,2
ThePansmith,12,12,False,2
NabeKz,67,69,False,2
DocilElm,410,423,False,3
Ahtisham-1214,50,50,True,2
yuqilin77,0,0,False,3
catacisneros,116,116,False,2
Gh0stbasta,166,234,False,2
organroman,-3,0,False,2
VrajPatel-16,0,0,True,2
foxsportscomactivate,0,0,False,2
Julian-codee,28,28,True,2
LaurentInSeattle,248,248,False,5
modkin,0,0,False,2
Redha-ABDERRAHMANE,6,6,True,2
simolus3,337,358,True,3
luisgarcia2807,0,0,False,2
OmarN-Mukhtar,30,30,True,2
Varni1512,154,154,False,2
rizkyilhampra,-495,29,False,4
mightyiam,149,163,False,3
eest,138,138,False,2
CarRentComores269,0,0,False,2
taqui-786,45,80,False,2
btarg,-415,0,False,2
juztas,143,212,False,4
doctorscript08,1,21,False,2
callmekz25,38,40,False,3
LeonisX,0,0,False,3
xb1g,325,692,False,2
takumin,187,264,False,2
deawer234,0,0,False,2
JoydeepMallick,-54,4,False,3
ConnorG512,1123,1123,False,2
jyoti-bhogal,105,105,False,2
anataliocs,135,171,False,2
XebiaLabsCI,353,353,True,3
dudanov,-131,9,False,3
mikemccand,196,202,False,2
haiyuewa,1,1,False,2
MingchenDai,5,13,False,2
onepointconsulting,99,99,False,3
Zalaya,-274,0,False,2
PedroHurtado,789,789,False,3
kraigochieng,1,41,False,2
VladScv,0,0,False,2
tykling,-200,57,False,2
real-yfprojects,30,30,True,2
IsaqueBatist,0,1,False,3
Artemiadze,4,4,False,2
katjaluther,55,55,False,2
guiEmotiv,0,0,False,2
AnandVishesh1301,16,18,False,2
samuelcolvin,97,181,False,3
blue-pen5805,-351,42,True,2
otype,0,0,False,2
grunsab,-85,66,False,2
imad-touil,-5,35,True,2
avineet4,0,0,False,2
amipatel25,0,0,False,2
stvnfox,-146,2,False,3
aawihardja-usfca,0,0,True,2
0xC0000054,191,196,False,3
nicvagn,69,69,False,3
rainman456,76,76,False,2
PetarMihaylov-PM,0,0,True,2
blissgerrit,0,0,False,3
Sameena-Sultana,1,1,True,3
HttpRafa,-294,26,False,2
sharon-ndz,0,0,True,3
Namat1,257,257,False,4
