actor,public_commits,total_commits,is_org,n_repos_2025
789Abhi,5,5,False,3
meihuisu,15,15,False,7
bridgetorr17,12,12,False,3
bsuraj23,13,13,False,3
ZaryabAli-09,52,52,True,3
devhunter1,46,46,False,2
i0ntempest,152,159,False,2
mp911de,218,550,True,2
Dengoan969,7,7,False,2
ryuz,29,38,False,2
1cg,78,78,False,2
jbampton,491,500,False,9
mloning,106,108,False,3
iraelie251006,521,521,False,2
duggytuxy,950,1845,False,3
vvasuki,2183,2195,False,11
apstndb,333,339,False,2
ylwhxht,30,30,False,2
yosiwizman,200,200,False,2
dnlkrm509,58,58,False,2
freedomkwok,4,4,False,2
Emmotes,461,461,False,4
jesse1333,21,21,False,2
adkinsrs,107,107,False,2
p2made,57,61,False,3
NikoHelle,4,4,True,2
161043261,215,216,False,3
mahugnonelies,610,610,False,2
KrstlSkll69,11,11,False,5
Zenslim,266,266,False,2
kazuhiko-ohe,49,49,True,2
JackJPowell,484,484,False,2
AxelBelloir,43,43,False,2
efJerryYang,3,37,False,2
ericof,194,283,False,2
minghay,9,9,True,2
DGwebdes,9,9,False,3
texpert,269,330,False,2
OLDmamorim,73,73,False,2
SakshamTewari,79,87,False,3
VolodiaPG,300,304,False,2
zxuexingzhijie,4,4,False,2
R3LI4NT,278,278,False,3
Roman-Samoilenko,66,66,True,3
vikulin,49,50,False,4
Cory-Kramer,11,11,True,3
goto-bus-stop,80,80,False,3
blackheaven,56,57,False,2
KenAdeniji,139,139,False,2
franvila,38,38,False,2
basstian-ai,159,159,True,2
khushiyadav03,960,962,False,2
linchuen,25,25,False,2
aronpetko,10,10,True,3
KloBraticc,132,222,False,3
tuomasj,80,80,False,2
mihoy3rd,159,159,False,4
simophin,7,7,False,2
proxlu,112,112,False,2
AlexanderSharygin,17,17,False,2
usimmarket,616,616,False,2
RichardRodas10,7,7,False,3
cheleb,79,143,False,7
Cheekybaby,185,195,False,2
yzewei,113,119,False,4
PedroMatumoto,21,31,True,2
jack-adkins,9,12,True,2
vincentbernat,486,496,False,4
Slixe,274,274,True,2
wxiaoguang,125,125,False,3
mattk04,90,162,True,3
puria,89,100,False,4
danibreaddDev,12,12,False,2
lucas-akira,8,8,True,2
aquagoose,66,206,True,5
singyuKang,3,3,False,3
mxochicale,43,43,False,4
DougieMcGuire,959,959,False,2
rec,1116,1116,True,2
chriswmackey,761,761,True,11
Leticia-SS,60,74,True,2
hyeonjoonpark,12,12,False,3
alihamza-12,29,29,True,3
jwoodruff40,21,21,False,2
shivanivemula17,4,4,False,7
stebo85,934,934,False,2
Arthur1510,3,3,True,2
debugly,68,68,False,2
sas26031962,86,86,False,3
pdh9523,152,171,False,3
Enthceph,16,16,True,2
SangWook16074,480,480,False,4
Yash9826,16,16,False,2
nathanaelcheramlak,6,78,False,2
jaf7C7,137,137,False,2
astha-rastogi-1,18,18,True,3
chaosvolt,154,154,False,3
johnnynv,87,173,True,2
neozhu,189,189,False,2
wesbland,67,70,False,2
SergeyYakubov,37,37,True,2
Preloading,90,120,False,2
espeon,196,359,False,6
asharaam1,44,46,False,2
aintyour-keii,3,3,True,2
Jitendra-cloud,79,79,True,2
neroute2,11,11,False,2
kukuxx,6,6,False,2
btsgh,34,34,False,3
Marrafon91,361,361,False,3
jensroth-git,14,14,True,2
daogrady,8,8,False,3
kyle-ce,4,4,False,2
Pal-cloud,115,119,False,2
ldg-github-ci,23,23,False,2
blbrdv,67,101,False,2
will-mp3,17,17,False,3
mojtaba211,11,11,False,2
takeokunn,429,993,False,2
theripper93,72,72,False,2
komal-kumawat,188,201,True,2
lindsayalexandra14,24,24,False,2
patrickthibaudeau,96,96,False,2
Koala743,53,53,False,2
moumitahalder,150,158,False,2
Tishj,540,540,False,3
j-t-1,37,37,False,2
FavioGenaro,58,58,False,2
microkbcrt,254,254,False,2
JoaoGomesDev32,109,123,False,2
ashishkathait123,15,15,False,2
kentakom1213,111,262,False,2
bububear,9,9,False,3
VolodymyrBg,76,76,False,8
joshka,120,120,False,3
dcherian,23,119,True,4
11notes,453,453,False,5
cesardeazevedo,108,148,False,2
jelaiw,37,72,False,2
devinpquinn,246,246,False,2
GabrielAlvesRocha,3,3,False,5
pji-min,322,325,True,2
KIB101D,114,114,True,2
cbbsjj0314,5,5,False,2
jovielarue,7,7,False,2
black-roland,70,70,True,3
jpark0506,5,80,True,2
zekusmaximus,389,389,False,3
Danwoltrs,271,271,True,2
Viplovesana,35,35,False,5
greycodee,24,24,False,2
Evilazaro,1586,3083,False,2
Berahatiye,81,81,False,2
Gabinson200,3,3,False,3
MnvPatel,61,61,False,2
ralf979,12,12,True,4
fsrv-xyz,11,11,False,3
dg0yt,63,63,False,2
dariosfiles,82,82,False,4
flatcap,1119,1142,False,3
ProdamGaraj,3,3,False,2
ihsaland,8,8,False,2
ChrisHuie,54,54,False,2
xiaojingming,137,137,False,2
robnester-rh,32,32,True,6
priyansh-narang2308,1365,1545,True,2
ANKITKUMARBARIK,53,53,False,2
archigup,85,85,True,3
zyx3721,1646,1646,False,2
simonecorsi,155,345,False,2
Arbuzov,72,81,False,2
Facusaltok,84,84,False,2
akiva10b,206,206,False,2
paulohtb6,19,19,True,3
RoyLee1224,8,8,False,3
Ahsun-ullah,37,52,True,2
alok-debnath,22,25,True,2
aniketmondal1210,462,466,False,4
kaic-cesar,17,44,True,3
iltan987,189,189,False,4
nmdra,183,188,False,2
ALLiDoizCode,566,567,True,2
nyvyn,4,4,False,3
YangDaJin0104,68,68,False,2
jaimergp,274,274,False,3
Un1q32,224,224,False,3
ottojolanki,102,102,False,2
artainmo,604,604,False,4
caybro,44,44,False,2
fscorrupt,457,457,False,5
cesvh,46,46,False,2
